HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
63825,63542,2016,11,6,4
90215,89829,2016,11,24,19
86013,85689,2016,12,27,4
62730,62406,2016,12,31,5
100706,100249,2017,1,11,11
28607,28483,2016,6,3,23
31024,30832,2016,6,23,3
133562,132990,2016,6,30,11
191873,190877,2016,7,13,15
188863,188160,2016,7,15,13
95184,94668,2016,7,26,7
132356,131771,2016,8,11,22
210263,209413,2016,8,15,19
216247,215416,2016,8,19,15
211545,210983,2016,8,22,11
136052,135486,2016,9,9,21
200554,199765,2016,9,15,20
101675,101164,2016,9,18,20
244010,242986,2016,9,20,15
214660,213783,2016,9,20,18
103196,102710,2016,9,21,9
156668,156113,2016,9,29,11
138621,138193,2016,10,28,11
143958,143454,2016,11,4,21
127375,126846,2016,11,8,22
93503,93140,2016,11,21,4
92599,92171,2016,11,22,8
114551,114192,2016,11,25,12
97673,97256,2016,11,28,10
93330,92867,2016,11,29,9
87573,87158,2016,11,30,6
53137,52928,2016,12,25,11
84334,83959,2017,1,1,17
262803,261957,2017,1,3,15
74290,73983,2017,1,15,3
102202,101740,2017,1,17,1
86111,85697,2016,6,26,22
167085,166554,2016,6,27,11
73616,73288,2016,7,10,12
98145,97648,2016,7,12,10
95915,95360,2016,7,26,8
74244,73875,2016,7,30,11
89466,89004,2016,8,26,7
235787,235132,2016,9,29,12
193679,193122,2016,10,7,12
98089,97622,2016,10,12,7
66270,66035,2016,11,27,6
87507,87103,2016,11,30,7
91368,90934,2016,12,7,10
65691,65416,2016,12,10,7
74942,74592,2016,12,29,9
46454,46239,2017,1,1,7
81580,81235,2017,1,7,1
150035,149425,2017,1,24,21
30455,30306,2016,6,4,14
31196,31048,2016,6,14,4
101820,101229,2016,6,28,9
181551,180767,2016,7,7,14
156573,155796,2016,7,7,19
99142,98663,2016,7,14,7
91820,91340,2016,7,19,7
280682,279739,2016,8,11,13
79823,79477,2016,8,13,11
223159,222276,2016,8,25,18
157633,157018,2016,9,1,21
111517,110980,2016,9,21,1
93155,92698,2016,9,24,21
103816,103394,2016,9,28,6
97157,96764,2016,10,3,3
126096,125542,2016,10,11,22
240028,239150,2016,10,17,17
75565,75251,2016,10,22,11
105125,104642,2016,10,26,23
109174,108767,2016,10,28,0
97808,97318,2016,10,29,19
107903,107418,2016,10,30,16
158973,158411,2016,11,8,13
137649,137121,2016,11,10,22
151941,151247,2016,11,11,18
55521,55211,2016,11,13,8
202211,201336,2016,11,16,16
93831,93433,2016,11,18,11
94991,94546,2016,11,22,10
88952,88606,2016,12,4,14
93630,93222,2016,12,14,4
70508,70223,2016,12,24,0
162505,161813,2017,1,16,19
210298,209568,2017,1,19,16
32099,31971,2016,6,2,23
32633,32479,2016,6,23,2
107068,106527,2016,6,28,23
164227,163536,2016,7,8,17
59254,58909,2016,7,17,8
179470,178584,2016,7,26,17
104561,104039,2016,7,28,0
94630,94094,2016,7,30,19
103097,102572,2016,8,7,17
94611,94117,2016,8,17,7
73299,72950,2016,9,3,11
67226,66906,2016,9,11,3
150030,149342,2016,9,13,21
219482,218594,2016,9,21,13
123273,122755,2016,10,4,22
108954,108497,2016,10,14,22
69510,69208,2016,10,22,4
109415,108933,2016,10,22,14
149247,148616,2016,11,1,21
97020,96618,2016,11,3,9
82247,81888,2016,11,9,3
106358,105971,2016,11,21,1
129247,128730,2016,11,22,22
162991,162278,2016,12,13,21
139357,138839,2016,12,21,13
89518,89111,2016,12,31,16
133554,133023,2017,1,2,15
73790,73458,2017,1,15,2
58744,58473,2017,1,28,5
96338,95996,2017,1,31,1
95829,95341,2016,6,27,6
91779,91298,2016,7,26,3
191786,190834,2016,7,27,14
100960,100418,2016,9,4,17
72468,72146,2016,9,17,4
68221,67870,2016,10,2,10
85123,84768,2016,10,10,2
104701,104308,2016,10,31,23
111813,111380,2016,11,11,12
64150,63841,2016,11,12,11
63173,62902,2016,12,11,11
91077,90676,2017,1,5,11
88986,88634,2017,1,11,5
104390,103931,2017,1,17,0
24135,24022,2016,6,12,22
54107,53829,2016,6,22,12
103860,103302,2016,6,25,15
97881,97337,2016,6,26,17
129239,128653,2016,8,4,22
88218,87819,2016,8,22,4
64395,64102,2016,9,4,5
83818,83415,2016,9,5,4
315644,314810,2016,9,12,13
209358,208725,2016,9,13,12
110227,109643,2016,9,18,18
116355,115810,2016,9,23,0
218573,217657,2016,10,4,16
72170,71896,2016,10,16,4
310175,309191,2016,10,24,14
96563,96196,2016,12,3,14
139329,138771,2016,12,6,22
190374,189799,2016,12,9,13
177442,176758,2016,12,12,21
91875,91453,2016,12,13,9
98350,97925,2016,12,14,3
105651,105269,2016,12,21,12
82331,82016,2016,12,22,6
139135,138714,2016,12,30,13
196347,195608,2017,1,9,20
104738,104225,2017,1,14,18
187189,186534,2017,1,18,14
80413,80016,2017,1,20,9
177877,177277,2017,1,24,18
76498,76153,2017,1,27,9
30395,30286,2016,6,4,16
32294,32140,2016,6,16,4
135860,135261,2016,7,21,21
198461,197538,2016,7,28,16
74088,73763,2016,8,28,0
253817,252965,2016,9,12,16
221731,221086,2016,9,16,12
83795,83399,2016,9,24,2
99466,99035,2016,10,29,13
108681,108243,2016,10,29,14
76227,75918,2016,11,1,4
106903,106470,2016,11,4,1
116588,116060,2016,11,25,19
221431,220604,2016,11,28,18
181704,180978,2016,11,28,21
89824,89418,2016,11,29,5
215804,214986,2016,12,9,16
190066,189264,2016,12,14,17
83447,83086,2016,12,16,9
95930,95561,2016,12,17,14
77475,77301,2016,12,20,0
50504,50279,2017,1,1,5
97611,97196,2017,1,5,1
26026,25930,2016,6,4,12
68366,68000,2016,6,6,15
51796,51544,2016,6,10,17
20338,20239,2016,6,12,4
41209,40973,2016,6,15,6
37114,36922,2016,6,17,10
144689,143997,2016,6,27,21
94479,93999,2016,7,25,2
182110,181219,2016,7,25,19
225795,224916,2016,10,6,17
98022,97575,2016,10,17,6
104614,104170,2016,12,3,15
66514,66242,2016,12,4,6
