HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
90208,89847,2017,1,21,14
94046,93624,2017,1,21,19
102168,101724,2017,1,24,1
172080,171413,2017,2,3,17
81066,80739,2017,2,17,3
175681,174957,2017,1,5,18
80118,79792,2017,1,18,5
87517,87179,2017,2,6,9
80646,80325,2017,2,9,6
88836,88178,2017,2,27,10
53109,52878,2017,2,5,8
91598,91190,2017,2,5,18
76773,76437,2017,2,8,5
60269,60017,2017,2,18,5
71413,71115,2017,1,27,6
72767,72469,2017,2,24,7
82888,82393,2017,2,26,14
185615,184755,2017,1,11,18
90848,90435,2017,1,18,11
123611,123121,2017,1,25,22
195451,194823,2017,2,6,18
56084,55858,2017,2,18,6
140785,140236,2017,2,20,20
81814,81232,2017,2,28,6
175050,174324,2017,1,11,20
88290,87931,2017,1,20,11
87326,86944,2017,1,22,22
127926,127361,2017,1,5,22
65164,64884,2017,1,22,5
201181,200427,2017,1,26,17
187986,187332,2017,2,24,16
150417,149786,2017,1,5,21
87992,87637,2017,1,9,0
225668,224837,2017,1,9,17
88881,88414,2017,1,17,9
64317,64035,2017,1,21,5
64908,64650,2017,2,11,12
56259,56020,2017,2,12,11
56629,56330,2017,2,26,8
65692,65312,2017,2,26,12
84653,84129,2017,2,26,22
75905,75559,2017,2,3,10
190616,189894,2017,2,9,17
82237,81909,2017,2,10,3
75191,74847,2017,2,17,9
73670,73344,2017,1,2,6
181059,180294,2017,1,5,17
95483,95035,2017,1,6,2
80437,80105,2017,1,17,5
59088,58831,2017,1,29,5
71672,71388,2017,2,1,6
71402,71080,2017,2,3,6
79629,79309,2017,2,6,1
75858,75561,2017,2,6,3
81176,80775,2017,1,1,20
133511,133020,2017,1,19,22
101748,101351,2017,1,20,1
97235,96800,2017,1,22,19
95789,95394,2017,1,28,15
70797,70509,2017,1,29,13
170841,170371,2017,2,3,13
83781,83447,2017,2,13,3
88120,87510,2017,2,27,7
185449,184243,2017,2,27,20
164626,163936,2017,1,6,20
97276,96812,2017,1,7,20
214889,214048,2017,1,10,16
122631,122143,2017,1,12,23
91124,90714,2017,1,16,10
75842,75536,2017,1,20,6
76324,76015,2017,1,20,7
165522,165127,2017,1,23,12
88450,88070,2017,2,11,19
55210,54994,2017,2,19,11
66684,66383,2017,1,8,12
190251,189430,2017,1,10,18
180401,179603,2017,1,10,20
94364,93975,2017,1,12,8
86142,85776,2017,1,18,10
80184,79805,2017,1,20,10
64873,64625,2017,1,29,2
61843,61585,2017,1,29,12
59460,59113,2017,2,25,6
45544,45382,2017,1,1,8
100151,99695,2017,1,6,23
71897,71551,2017,1,8,1
82945,82591,2017,1,23,6
75737,75402,2017,2,2,5
66095,65780,2017,2,5,2
86992,86672,2017,2,11,14
91547,91127,2017,2,12,18
86993,86615,2017,2,14,11
63872,63643,2017,2,18,12
89090,88687,2017,1,7,0
95348,94731,2017,2,28,2
83628,83299,2017,2,6,7
236083,235318,2017,2,6,16
77911,77600,2017,2,7,6
185525,184817,2017,2,13,19
97248,96867,2017,2,14,0
79709,79388,2017,2,16,6
70273,70000,2017,2,19,13
90171,89764,2017,1,3,3
103085,102640,2017,1,31,0
53013,52775,2017,2,4,8
80535,80192,2017,2,8,4
84720,84318,2017,2,9,9
100497,100063,2017,1,25,0
65234,64965,2017,1,28,3
106642,106237,2017,2,8,12
163083,162445,2017,2,8,19
52975,52750,2017,2,12,8
52411,52202,2017,2,19,8
129572,129039,2017,2,20,21
159210,158621,2017,2,21,20
92240,91558,2017,2,28,11
106877,106428,2017,1,4,0
80202,79832,2017,1,14,23
277923,277226,2017,1,23,14
168180,167743,2017,2,7,13
214301,213596,2017,2,9,15
82973,82599,2017,2,13,7
79188,78846,2017,2,15,9
93369,92810,2017,2,26,18
174487,173829,2017,1,3,20
86725,86270,2017,1,8,22
88246,87871,2017,1,20,3
55338,55090,2017,1,22,8
272556,271035,2017,2,27,14
97755,97364,2017,2,4,17
197006,196287,2017,2,7,16
84213,83800,2017,2,16,7
74695,74372,2017,2,17,4
70263,69959,2017,2,18,22
161950,161343,2017,2,22,18
199961,199156,2017,1,11,14
60386,60157,2017,1,14,11
174324,173663,2017,1,19,20
172574,171916,2017,1,20,19
58039,57776,2017,2,4,6
62431,62197,2017,2,5,5
82853,82554,2017,2,6,4
84678,84287,2017,2,9,10
75906,75576,2017,2,10,9
250719,249957,2017,2,13,15
142283,141728,2017,2,15,13
192001,191376,2017,2,24,15
255404,253849,2017,2,27,15
214431,213121,2017,2,27,17
84205,83856,2017,1,3,4
91244,90860,2017,1,4,3
180213,179514,2017,1,17,20
173282,172612,2017,1,20,17
131678,131168,2017,2,6,22
77702,77374,2017,2,22,6
69058,68651,2017,2,25,4
109507,109034,2017,1,5,23
121333,120861,2017,1,6,22
61589,61314,2017,1,22,6
82256,81939,2017,1,23,5
120175,119693,2017,2,21,22
138443,137862,2017,2,22,21
82280,81962,2017,2,24,3
98723,98296,2017,1,15,16
204609,203840,2017,1,16,15
106460,106021,2017,1,24,0
203286,202554,2017,2,7,15
190581,189870,2017,2,14,16
75277,74934,2017,2,15,7
214185,213561,2017,2,16,14
84700,84133,2017,2,28,7
119298,118755,2017,1,2,20
169722,168961,2017,1,4,20
92241,91787,2017,1,8,21
147262,146702,2017,1,13,21
94270,93854,2017,1,20,2
81684,81376,2017,1,20,4
54761,54512,2017,1,21,8
79111,78794,2017,1,21,13
150932,150316,2017,2,1,20
92627,92194,2017,2,12,17
114538,114172,2017,2,17,12
87509,87153,2017,2,20,1
87706,87094,2017,2,27,8
106272,105800,2017,1,7,16
140800,140220,2017,1,10,22
88804,88405,2017,1,16,7
55606,55349,2017,1,22,10
73415,73105,2017,1,27,8
77376,77025,2017,1,31,8
71827,71550,2017,2,5,13
83439,83045,2017,2,7,10
73377,73041,2017,2,10,7
79573,79278,2017,2,13,5
130452,129880,2017,1,4,22
70520,70217,2017,1,22,4
89913,89529,2017,1,23,0
96972,96566,2017,1,26,1
58601,58377,2017,2,5,6
81350,81018,2017,2,6,5
178854,178099,2017,1,4,18
124670,124196,2017,1,11,12
102184,101759,2017,1,12,11
204941,204186,2017,1,12,19
86748,86394,2017,1,18,4
126205,125792,2017,1,19,12
120785,120410,2017,1,24,12
90268,89856,2017,1,25,2
170289,169569,2017,1,25,17
100811,100431,2017,1,31,23
80257,79914,2017,2,2,4
71629,71297,2017,2,4,2
115026,114567,2017,2,14,22
175064,174398,2017,2,22,14
76317,75857,2017,2,25,1
68665,68307,2017,2,26,4
79349,79041,2017,1,7,13
80428,80105,2017,1,13,7
95422,94856,2017,2,26,17
185775,185277,2017,1,6,13
274467,273762,2017,1,9,14
80546,80182,2017,1,13,6
54177,53950,2017,1,14,9
87574,87244,2017,1,31,11
135815,135230,2017,2,3,21
106172,105762,2017,2,9,23
83169,82836,2017,2,21,3
84055,83667,2017,2,23,9
77328,76983,2017,1,15,0
181319,180550,2017,1,4,17
54755,54508,2017,1,7,9
86337,85969,2017,1,9,7
85418,85035,2017,1,14,22
85314,85002,2017,1,17,4
197048,196318,2017,1,17,18
182129,181422,2017,1,18,17
82416,82094,2017,1,22,14
115341,114908,2017,1,23,23
97678,97299,2017,2,23,0
53731,53478,2017,1,28,6
75329,75026,2017,1,30,5
80814,80470,2017,1,4,5
177948,177140,2017,1,4,19
87418,87051,2017,1,5,4
58223,57939,2017,1,7,7
130780,130315,2017,1,10,12
188952,188111,2017,1,10,19
94615,94210,2017,1,12,10
192700,191954,2017,1,12,20
87363,87025,2017,1,19,4
86951,86565,2017,1,19,10
123561,123187,2017,1,20,12
78408,78065,2017,1,26,8
66334,66045,2017,2,4,4
61013,60633,2017,2,26,6
193859,193154,2017,1,16,16
75327,74992,2017,1,31,7
111469,111043,2017,2,3,22
84849,84535,2017,2,22,3
69899,69593,2017,2,24,5
54421,54179,2017,1,1,4
103143,102694,2017,1,4,1
75726,75392,2017,1,6,6
78229,77919,2017,1,27,10
87032,86712,2017,1,27,11
188601,187905,2017,1,4,14
69998,69695,2017,1,14,4
143718,143225,2017,2,8,13
83065,82718,2017,2,13,8
69043,68755,2017,1,2,8
123025,122464,2017,1,2,19
108443,107943,2017,1,4,23
70734,70419,2017,1,8,2
98141,97728,2017,1,19,2
86865,86518,2017,1,23,4
76011,75667,2017,2,1,8
159689,159059,2017,2,1,19
99427,99033,2017,2,3,0
88444,88018,2017,2,4,20
94122,93731,2017,2,8,1
