,week,hour_of_week,WindowsToAgentCalls,rate,treatment
1759,11,127,293,0.002779253300956139,0.0
1760,11,128,299,0.002733539339196577,0.933
1761,11,129,345,0.003170606183141565,0.0
1762,11,130,379,0.0035344586403058846,0.0
1763,11,131,413,0.004017040812356534,0.0
1764,11,132,407,0.004083639355447193,0.0
1765,11,133,326,0.0035088474620054246,0.0
1766,11,134,330,0.0037678975131876413,0.0
1767,11,135,304,0.0037064582596715396,0.0
1768,11,136,287,0.003745122858298644,0.0
1769,11,137,300,0.00399387605671304,0.0
1770,11,138,79,0.0011005544565489956,0.0
1771,11,139,78,0.0010986689203465033,0.0
1772,11,140,51,0.0007302823758519961,0.0
1773,11,141,36,0.000537987925159902,0.0
1774,11,142,20,0.0003209191123377353,0.0
1775,11,143,10,0.00016803898504453034,0.0
1776,11,144,7,0.00011946615694439704,0.0
1777,11,145,3,5.164933544521727e-05,0.0
1778,11,146,9,0.0001544507559506444,0.0
1779,11,147,10,0.00016206404771165566,0.0
1780,11,148,7,0.0001015581928444999,0.0
1781,11,149,18,0.0002331485415263458,0.0
1782,11,150,39,0.000449464100495563,0.0
1783,11,151,188,0.001957395414697124,0.0
1784,11,152,212,0.0020832514445186905,0.0
1785,11,153,277,0.0026627190494958137,0.0
1786,11,154,297,0.0028958658346333855,0.0
1787,11,155,345,0.003375172427287046,0.0
1788,11,156,327,0.0033359177344323837,0.0
1789,11,157,306,0.0032379924446842958,0.0
1790,11,158,319,0.003550361713967724,0.0
1791,11,159,306,0.0035219372957046176,0.0
1792,11,160,246,0.002884649210239332,0.0
1793,11,161,262,0.002854403625746285,0.0
1794,11,162,80,0.0008126530073240352,0.0
1795,11,163,50,0.0005460243963700298,0.0
1796,11,164,26,0.00030050507969163557,0.0
1797,11,165,20,0.00024183504431627188,0.0
1798,11,166,17,0.00021362956633198035,0.0
1799,11,167,6,7.024445068839562e-05,0.0
1800,12,0,11,0.0001213043526207254,0.0
1801,12,1,3,3.18752191421316e-05,0.0
1802,12,2,2,1.9659304257222338e-05,0.0
1803,12,3,11,9.407740004276245e-05,0.0
1804,12,4,15,8.637766619062975e-05,0.0
1805,12,5,39,0.0001490677532049567,0.0
1806,12,6,268,0.0009237970817663828,0.933
1807,12,7,301,0.0010876753018208623,1.0
1808,12,8,390,0.0015066815531955171,0.033
1809,12,9,447,0.001957512776383725,0.0
1810,12,10,500,0.0023336787177835653,0.0
1811,12,11,487,0.002370360275292766,0.0
1812,12,12,499,0.0025971051905671473,0.0
1813,12,13,484,0.0027404861531841163,0.0
1814,12,14,459,0.0030965391621129326,0.0
1815,12,15,418,0.0034293215194027404,0.0
1816,12,16,382,0.0034192318364497276,0.0
1817,12,17,334,0.0027265083550338364,0.0
1818,12,18,292,0.002580713584982368,0.0
1819,12,19,185,0.0018624036080294763,0.0
1820,12,20,114,0.0012634658864210666,0.0
1821,12,21,65,0.0007791616220946261,0.0
1822,12,22,28,0.00035682881137774153,0.0
1823,12,23,11,0.0001322624086186995,0.0
1824,12,24,12,0.00013847858197932054,0.0
1825,12,25,9,9.969206229646204e-05,0.0
1826,12,26,5,5.2532596476113426e-05,0.0
1827,12,27,5,4.901768558095761e-05,0.0
1828,12,28,21,0.00016663096003237401,0.0
1829,12,29,49,0.00028061735818801363,0.0
1830,12,30,250,0.001200278464603788,0.0
1831,12,31,314,0.0014499178072071074,0.0
1832,12,32,341,0.0015978632678881027,0.0
1833,12,33,423,0.0021542065593807293,0.0
1834,12,34,313,0.0014921032935915832,0.0
1835,12,35,242,0.0009319341484547993,0.0
1836,12,36,540,0.0026041164329391794,0.0
1837,12,37,503,0.00295618035638723,0.0
1838,12,38,402,0.0028442859568687385,0.0
1839,12,39,376,0.0031402418654372954,0.0
1840,12,40,415,0.0038346746994631455,0.0
1841,12,41,334,0.0031964169505799486,0.0
1842,12,42,281,0.0027841077974834045,0.0
1843,12,43,170,0.0018046900710198622,0.0
1844,12,44,111,0.0012512822825192483,0.0
1845,12,45,87,0.0010628290799809424,0.0
1846,12,46,18,0.00023029093421355647,0.0
1847,12,47,14,0.00016865437899048308,0.0
1848,12,48,7,8.012637073327075e-05,0.0
1849,12,49,10,0.000111185234600845,0.0
1850,12,50,9,9.50098704698766e-05,0.0
1851,12,51,6,5.998560345517076e-05,0.0
1852,12,52,18,0.00015369377369445678,0.0
1853,12,53,42,0.0002749356846880462,0.0
1854,12,54,213,0.0011443061368117374,0.0
1855,12,55,304,0.0015075925136129654,0.0
1856,12,56,401,0.0019939931577691145,0.0
1857,12,57,445,0.0023801118920017544,0.0
1858,12,58,503,0.0027540818449610705,0.0
1859,12,59,450,0.0025185674388407873,0.0
1860,12,60,528,0.003128592251993885,0.0
1861,12,61,510,0.003233906559123421,0.0
1862,12,62,463,0.003365730610702006,0.0
1863,12,63,443,0.0036794325534265236,0.0
1864,12,64,389,0.0035951276316519105,0.0
1865,12,65,310,0.0030361200344746534,0.0
1866,12,66,261,0.0025213006433663712,0.0
1867,12,67,196,0.0020036597458623403,0.0
1868,12,68,90,0.000996611520829181,0.0
1869,12,69,81,0.0009720388815552622,0.0
1870,12,70,16,0.00020169931674356454,0.0
1871,12,71,10,0.00011597833524697587,0.0
1872,12,72,12,0.00013127379337504923,0.0
1873,12,73,8,8.421052631578948e-05,0.0
1874,12,74,8,8.081787691437345e-05,0.0
1875,12,75,6,5.627250900360144e-05,0.0
1876,12,76,17,0.00012486320134558461,0.0
1877,12,77,31,0.0001617692335791182,0.0
1878,12,78,214,0.000939882646428446,0.0
1879,12,79,272,0.0011541513380942075,0.0
1880,12,80,345,0.0014907573047107932,0.0
1881,12,81,412,0.0019579050416054823,0.0
1882,12,82,416,0.0020310814043756134,0.0
1883,12,83,455,0.0022838613821627917,0.0
1884,12,84,411,0.002200284805721811,0.0
1885,12,85,473,0.002764933857871878,0.0
1886,12,86,420,0.0029243634287464924,0.0
1887,12,87,398,0.0033597271698941433,0.0
1888,12,88,429,0.004087972403804006,0.0
1889,12,89,326,0.0032821875880955256,0.0
1890,12,90,217,0.002202911497776785,0.0
1891,12,91,181,0.0019365745099717538,0.0
1892,12,92,125,0.0014729970186540342,0.0
1893,12,93,72,0.0009353686261773303,0.0
1894,12,94,17,0.00023542445644647556,0.0
1895,12,95,8,0.00010520916897907653,0.0
1896,12,96,13,0.00016204021090156681,0.0
1897,12,97,9,0.00010844418739155581,0.0
1898,12,98,7,8.011078176678608e-05,0.0
1899,12,99,9,9.431490699502226e-05,0.0
1900,12,100,14,0.00011353131031350861,0.0
1901,12,101,33,0.00019012721238938053,0.0
1902,12,102,211,0.0010408701872086426,0.0
1903,12,103,244,0.0011772198313294866,0.0
1904,12,104,327,0.0016133647783226927,0.0
1905,12,105,456,0.0024579162691418313,0.0
1906,12,106,446,0.002495607506966438,0.0
1907,12,107,466,0.0026733059501135867,0.0
1908,12,108,554,0.0035371335172131985,0.0
1909,12,109,451,0.00311045208455464,0.0
1910,12,110,329,0.00267976411559639,0.0
1911,12,111,329,0.0032034429709255907,0.0
1912,12,112,277,0.003054024255788313,0.0
1913,12,113,239,0.002915274084555146,0.0
1914,12,114,224,0.002849147799542101,0.0
1915,12,115,158,0.002096936879545575,0.0
