HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
197089,196435,2017,2,7,14
77411,77084,2017,2,14,7
148230,147283,2017,3,20,21
170152,169012,2017,3,21,20
82992,82373,2017,3,24,8
79009,78517,2017,4,1,21
82133,81778,2017,1,5,5
66854,66565,2017,1,29,1
120931,120448,2017,1,31,22
167433,166755,2017,2,8,17
198238,197663,2017,2,10,14
81296,80917,2017,2,14,10
73513,73182,2017,2,17,8
103142,102701,2017,2,17,22
168423,167781,2017,2,22,17
70475,69907,2017,3,25,3
135066,134562,2017,1,26,22
84410,84020,2017,2,5,21
75082,74781,2017,2,21,5
91937,91276,2017,3,6,9
168506,167717,2017,3,6,12
172492,171342,2017,3,8,17
87171,86595,2017,3,9,6
59110,58730,2017,3,12,6
85684,85066,2017,3,17,8
263088,261462,2017,3,27,14
200198,199010,2017,4,7,13
60325,60100,2017,1,7,11
89788,89378,2017,1,11,7
159099,158206,2017,3,9,21
95154,94583,2017,3,14,0
95179,94526,2017,3,21,9
77342,76828,2017,3,29,5
182858,182157,2017,1,25,15
54452,54208,2017,2,4,7
81925,81554,2017,2,7,4
68628,68223,2017,2,26,0
182744,181574,2017,2,28,17
97736,97163,2017,3,3,23
90306,89779,2017,3,23,3
79382,78899,2017,3,28,4
60010,59647,2017,4,2,7
96021,95484,2017,4,7,2
99735,99323,2017,2,4,16
84774,84379,2017,2,6,8
77862,77556,2017,2,8,6
80901,80609,2017,2,16,4
87379,86758,2017,3,24,9
72728,72259,2017,3,31,5
94090,93567,2017,4,2,16
105856,105436,2017,1,19,0
129085,128556,2017,1,24,22
164434,163855,2017,1,26,21
77785,77491,2017,2,4,13
91569,91197,2017,2,9,11
51751,51514,2017,2,11,9
82012,81673,2017,2,13,4
81512,81038,2017,4,2,13
129844,129036,2017,4,4,21
102176,101711,2017,1,15,18
136671,136186,2017,1,17,22
197990,197245,2017,1,18,15
97231,96803,2017,1,22,17
79006,78597,2017,3,4,13
97592,97001,2017,3,4,15
85003,84390,2017,3,7,7
71246,70806,2017,3,11,23
75450,74999,2017,3,13,4
160451,159303,2017,3,14,20
87589,87017,2017,3,15,4
166900,165733,2017,3,17,18
107230,106573,2017,3,18,17
276737,275000,2017,3,20,14
136149,135347,2017,3,23,11
275144,273593,2017,4,3,13
247924,246379,2017,4,3,15
183807,183112,2017,1,5,14
182956,182257,2017,1,6,18
63299,63024,2017,1,14,5
80498,80136,2017,1,18,6
68582,68197,2017,2,25,12
88298,87728,2017,2,25,20
83109,82552,2017,2,25,21
188467,187478,2017,3,9,13
91352,90723,2017,3,13,9
94245,93640,2017,3,31,22
81005,80632,2017,1,25,10
255250,253929,2017,3,6,13
78611,78053,2017,3,13,6
115049,114342,2017,3,13,22
186139,184943,2017,3,22,13
